,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,Alc_Tot,Cond_elec,Dur_Tot,SDT,Fe_Tot,Mn_Tot,Fluo,CF,N_NO3,As_Tot,Cd_Tot,Cr_Tot,Hg_Tot,Pb_Tot
0,CAZEPA-11,CAZEPA-11-310722,POZO LAS AURAS,SUBTERRÁNEO,2022-07-29 00:00:00,2022,176.8,548.0,188.0,322.0,0.029,0.002,0.5,10.0,3.843,0.021,0.00130148,0.003,0.000201289,0.00154
1,CAZEPA-2,CAZEPA-2-310722,POZO SAN FERNANDO 2,SUBTERRÁNEO,2022-07-26 00:00:00,2022,168.4,378.0,152.0,247.4,0.0041,0.088,0.55,10.0,0.295,0.0085,0.00130148,0.0023,0.000201289,0.00154
2,CAZEPA-9,CAZEPA-9-310722,POZO VILLA JARDIN,SUBTERRÁNEO,2022-07-29 00:00:00,2022,204.4,564.0,238.0,400.8,0.0089,0.00021,0.53,10.0,4.296,0.022,0.00130148,0.0012,0.000201289,0.00154
3,CAZEPA-3,CAZEPA-3-310722,POZO SAN FERNANDO 3,SUBTERRÁNEO,2022-07-26 00:00:00,2022,203.4,540.0,220.0,384.4,0.051,0.003,0.47,10.0,1.748,0.016,0.00130148,0.0012,0.000201289,0.00154
4,CAZEPA-4,CAZEPA-4-310722,POZO SAN FERNANDO 4,SUBTERRÁNEO,2022-07-26 00:00:00,2022,206.8,551.0,216.0,387.8,0.015,0.049,0.52,10.0,1.058,0.013,0.00130148,0.003,0.000201289,0.00154
5,CAZEPA-7,CAZEPA-7-310722,POZO SAN FERNANDO 7,SUBTERRÁNEO,2022-07-26 00:00:00,2022,203.4,532.0,220.0,378.8,0.0044,0.00021,0.46,10.0,1.21,0.011,0.00130148,0.0012,0.000201289,0.00154
6,CAZEPA-8,CAZEPA-8-310722,POZO EL BORDO,SUBTERRÁNEO,2022-07-29 00:00:00,2022,225.4,502.0,240.0,392.8,0.907,0.042,0.34,41.0,4.118,0.0015,0.00130148,0.0023,0.000201289,0.00154
7,CAZEPA-1,CAZEPA-1-310722,POZO SAN FERNANDO 1,SUBTERRÁNEO,2022-07-27 00:00:00,2022,141.3,279.0,132.0,184.6,0.0041,0.00021,0.52,10.0,0.317,0.0074,0.00130148,0.0012,0.000201289,0.00154
8,DLAGU42,DLAGU42-210822,CALVILLO POZO NO. 1 INDEPENDENCIA,SUBTERRÁNEO,2022-08-25 00:00:00,2022,117.2,354.0,94.4,269.0,0.005,0.00021,1.04,10.0,2.732,0.0015,0.00130148,0.0012,0.000201289,0.00154
9,CAZEPA-10,CAZEPA-10-070822,POZO EL HUARACHE,SUBTERRÁNEO,2022-08-01 00:00:00,2022,200.0,519.0,230.0,378.0,0.375,0.025,0.43,10.0,3.182,0.01,0.00130148,0.0034,0.000201289,0.015
