,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,ODs%,ODm%,ODf%,DBO5,DQO,TOX_D48s,TOX_D48f,TOX_F15s,TOX_F15f
0,DLAGU13,DLAGU13-210822,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LÉNTICO (HUMEDAL),2022-08-19 00:00:00,2022,21.2,288.0,41.0,114.9,56.6,23.3,2.0,10.0,1.0,1.0,1.0,1.0
7,DLCOA437,DLCOA437-180922,CORTINA PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),2022-08-25 00:00:00,2022,19.0,2400.0,2400.0,54.0,40.0,36.0,2.13,27.96,1.0,1.0,1.0,1.0
8,DLCOA487,DLCOA487-250922,CORTINA PRESA LA AMISTAD,LÉNTICO (HUMEDAL),2022-09-19 00:00:00,2022,10.0,435.0,10.0,96.7,91.6,71.5,2.0,10.0,1.0,1.0,1.0,1.0
9,DLCOA490,DLCOA490-250922,PRESA INTERNACIONAL LA AMISTAD 5,LÉNTICO (HUMEDAL),2022-09-19 00:00:00,2022,25.2,384.0,10.0,103.5,94.2,80.4,2.0,10.0,1.0,1.0,1.0,1.0
22,DLEST893,DLEST893-070822,PRESA VILLA VICTORIA 1,LÉNTICO (HUMEDAL),2022-08-01 00:00:00,2022,16.0,460.0,240.0,62.4,38.7,24.5,20.82,38.4,1.0,1.0,1.0,1.0
23,DLEST906,DLEST906-070822,CORTINA PRESA VALLE DE BRAVO,LÉNTICO (HUMEDAL),2022-08-01 00:00:00,2022,20.0,2400.0,460.0,49.1,29.3,13.7,21.9,35.04,1.0,1.0,1.0,1.0
33,DLGUE1347,DLGUE1347-250922,PRESA EL CARACOL 2,LÉNTICO (HUMEDAL),2022-09-22 00:00:00,2022,10.0,30.0,30.0,85.7,53.4,34.5,2.0,28.29,1.0,1.0,1.0,1.0
43,DLHID1492,DLHID1492-040922,PRESA ZIMAPAN 3,LÉNTICO,2022-08-31 00:00:00,2022,10.0,23.0,23.0,148.1,86.3,10.2,27.9,34.75,1.0,1.0,1.0,1.0
44,DLHID1493,DLHID1493-040922,PRESA ZIMAPAN 4,LÉNTICO,2022-08-31 00:00:00,2022,12.0,210.0,120.0,112.4,62.5,10.0,19.98,26.66,1.0,1.0,1.0,1.0
48,DLMIC1555,DLMIC1555-180922,PRESA LA VILLITA 2,LÉNTICO (HUMEDAL),2022-09-13 00:00:00,2022,10.0,30.0,30.0,67.9,62.7,57.1,2.0,29.13,1.0,1.0,1.0,1.0
49,DLMIC1559W1,DLMIC1559W1-180922,PRESA LA VILLITA 5,LÉNTICO,2022-09-13 00:00:00,2022,10.0,30.0,30.0,67.2,64.3,50.4,2.0,28.71,1.0,1.0,1.0,1.0
50,DLMIC1560M1,DLMIC1560M1-180922,PRESA LA VILLITA CENTRO,LÉNTICO (HUMEDAL),2022-09-13 00:00:00,2022,10.0,30.0,30.0,60.4,57.8,47.4,2.0,30.38,1.0,1.0,1.0,1.0
51,DLMIC1562W1,DLMIC1562W1-180922,RIO BALSAS 12 BIS,LÉNTICO,2022-09-12 00:00:00,2022,10.0,230.0,30.0,63.4,56.9,51.8,2.0,31.63,1.0,1.0,1.0,1.0
52,DLMIC1565,DLMIC1565-180922,PRESA LA VILLITA 5,LÉNTICO,2022-09-12 00:00:00,2022,10.0,40.0,30.0,68.2,62.8,52.5,2.0,25.79,1.0,1.0,1.0,1.0
54,DLMIC1580,DLMIC1580-180922,PRESA INFIERNILLO 1,LÉNTICO (HUMEDAL),2022-09-16 00:00:00,2022,10.0,30.0,30.0,87.2,84.8,31.5,2.0,33.29,1.0,1.0,1.0,1.0
56,DLMIC1577,DLMIC1577-180922,PRESA INFIERNILLO 7,LÉNTICO (HUMEDAL),2022-09-16 00:00:00,2022,10.0,140.0,90.0,80.7,77.2,19.4,2.0,31.21,1.0,1.0,1.0,1.0
57,DLMIC1581,DLMIC1581-180922,PRESA INFIERNILLO 4,LÉNTICO (HUMEDAL),2022-09-16 00:00:00,2022,10.0,30.0,30.0,83.8,79.3,36.7,2.0,29.96,1.0,1.0,1.0,1.0
81,DLMIC1709,DLMIC1709-140822,LAGO ZIRAHUEN CENTRO,LÉNTICO (HUMEDAL),2022-08-12 00:00:00,2022,10.0,10.0,10.0,98.1,85.8,68.7,2.0,10.0,1.0,1.0,1.0,1.0
93,DLMIC1776,DLMIC1776-310722,PRESA EL BOSQUE 2,LÉNTICO (HUMEDAL),2022-07-26 00:00:00,2022,17.6,3654.0,1137.0,83.5,36.8,31.8,9.52,12.72,1.0,1.0,1.0,1.0
99,DLNAY1834,DLNAY1834-030722,PASO DE LA YESCA,LÉNTICO,2022-06-30 00:00:00,2022,10.0,233.0,10.0,200.0,21.2,18.9,4.66,21.2,1.0,1.0,1.0,1.0
100,DLNAY1834,DLNAY1834-280822,PASO DE LA YESCA,LÉNTICO,2022-08-28 00:00:00,2022,18.7,160.0,10.0,118.8,52.6,33.2,6.2,40.31,1.0,1.0,1.0,1.0
101,DLNAY1840,DLNAY1840-110922,PRESA EL CAJON 4,LÉNTICO,2022-09-11 00:00:00,2022,11.2,10.0,10.0,114.5,35.1,34.1,10.9,12.54,1.0,1.0,1.0,1.0
102,DLNAY1836,DLNAY1836-110922,PRESA EL CAJON 5,LÉNTICO,2022-09-11 00:00:00,2022,20.3,20.0,10.0,163.5,34.4,23.8,9.4,24.24,1.0,1.0,1.04,1.0
103,DLNAY1861,DLNAY1861-040922,PRESA SOLIDARIDAD 2 (P.H. AGUAMILPA 2),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,10.0,384.0,20.0,76.0,58.8,49.0,2.0,10.0,1.0,1.0,1.0,1.0
104,DLNAY1860,DLNAY1860-040922,PRESA SOLIDARIDAD 1(P.H. AGUAMILPA 1 CORTINA),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,10.0,218.0,10.0,83.0,74.0,48.3,7.2,10.0,1.0,1.0,1.0,1.0
105,DLNAY1864,DLNAY1864-040922,PRESA SOLIDARIDAD 4 (P.H. AGUAMILPA 4),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,10.0,1430.0,10.0,66.4,57.6,44.6,2.0,72.03,1.0,1.0,1.0,1.0
106,DLNAY1862,DLNAY1862-040922,PRESA SOLIDARIDAD 5 (P.H. AGUAMILPA 5),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,10.0,529.0,10.0,83.6,63.0,58.6,2.0,10.0,1.0,1.0,1.0,1.0
107,DLNAY1865,DLNAY1865-040922,PRESA SOLIDARIDAD 6 (P.H. AGUAMILPA 6 LAS ADJUNTAS),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,14.6,110.0,10.0,70.8,50.2,44.7,2.0,10.0,1.0,1.0,1.0,1.0
108,DLNAY1863,DLNAY1863-040922,PRESA SOLIDARIDAD 3 (P.H. AGUAMILPA 3),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,10.0,189.0,10.0,91.5,67.5,59.8,2.0,10.0,1.0,1.0,1.0,1.0
109,DLNAY1866,DLNAY1866-040922,PRESA SOLIDARIDAD 7 (P.H. AGUAMILPA 7 DESEMBOCADURA DEL RIO HUAYNAMOTA),LÉNTICO (HUMEDAL),2022-10-09 00:00:00,2022,10.0,520.0,10.0,72.4,55.4,33.5,2.0,10.97,1.0,1.0,1.0,1.0
110,DLNAY1922,DLNAY1922-110922,LAGUNA DE SANTA MARIA DEL ORO 1 (RESTAURANT LA MATA),LÉNTICO (HUMEDAL),2022-09-11 00:00:00,2022,10.0,161.0,10.0,127.9,33.2,25.0,2.0,10.0,1.0,1.0,1.0,1.0
112,DLNAY1925,DLNAY1925-110922,LAGUNA DE SANTA MARIA DEL ORO 2  A LA ALTURA DEL RESTAURANT EL DESAGUE,LÉNTICO (HUMEDAL),2022-09-11 00:00:00,2022,10.0,199.0,10.0,122.7,36.4,24.9,6.76,10.0,1.0,1.0,1.0,1.48
121,DLPUE2068,DLPUE2068-210822,PRESA MANUEL AVILA CAMACHO 6,LÉNTICO (HUMEDAL),2022-08-17 00:00:00,2022,21.0,24000.0,24000.0,10.0,10.0,10.0,22.67,73.71,1.0,1.0,1.0,1.0
122,DLQUE2134,DLQUE2134-040922,PRESA ZIMAPAN 2,LÉNTICO,2022-08-31 00:00:00,2022,82.0,43.0,15.0,168.9,84.1,10.0,22.5,32.37,1.0,1.0,1.0,1.0
