,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,OD%,DBO5,DQO,TOX_D48,TOX_V15
1,DLAGU26,DLAGU26-210822,DESCARGA DE LA CIUDAD DE AGUASCALIENTES,LÓTICO,2022-08-22,2022,26.3,24196.0,24196.0,75.8,2.42,10.0,1.0,1.0
2,DLBAJ85,DLBAJ85-021022,MANANTIAL SAN JOSE DEL CABO,LÓTICO (HUMEDAL),2022-09-27,2022,10.0,3282.0,638.0,85.8,2.0,10.0,1.0,1.0
3,DLBAJ94,DLBAJ94-021022,SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3,LÓTICO (HUMEDAL),2022-09-27,2022,24.8,11199.0,226.0,92.7,2.0,26.29,1.0,1.0
4,DLBAJ95,DLBAJ95-021022,SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2,LÓTICO (HUMEDAL),2022-09-27,2022,10.0,6131.0,313.0,80.0,2.0,10.0,1.0,1.0
5,DLBAJ97,DLBAJ97-021022,SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1,LÓTICO (HUMEDAL),2022-09-27,2022,10.0,12997.0,116.0,86.4,2.0,10.0,1.0,1.0
6,DLCAM257,DLCAM257-180922,PUENTE SAN FRANCISCO,LÓTICO (HUMEDAL),2022-10-19,2022,258.0,3654.0,561.0,80.8,5.7,10.0,1.0,1.0
7,DLCAM258,DLCAM258-140822,MANANTIAL AGUAS VERDES,LÓTICO (HUMEDAL),2022-08-08,2022,10.0,460.0,150.0,46.1,10.8,22.45,1.0,1.0
8,DLCAM255,DLCAM255-180922,RIO PALIZADA AGUAS ABAJO DEL POBLADO,LÓTICO (HUMEDAL),2022-10-19,2022,286.7,3873.0,512.0,74.0,5.3,12.42,1.0,1.0
9,DLCAM260,DLCAM260-140822,PUENTE NUEVO COAHUILA,LÓTICO (HUMEDAL),2022-08-08,2022,16.0,1100.0,1100.0,46.0,15.36,23.42,1.0,1.0
10,DLCAM281,DLCAM281-140822,IGNACIO ZARAGOZA,LÓTICO (HUMEDAL),2022-08-09,2022,24.0,2400.0,1100.0,95.2,11.28,19.52,1.0,1.0
11,DLCAM283,DLCAM283-140822,CANDELARIA PUENTE AGUAS ABAJO DEL POBLADO,LÓTICO,2022-08-09,2022,18.0,210.0,120.0,56.7,14.07,21.47,1.0,1.0
12,DLCAM284,DLCAM284-140822,VENUSTIANO CARRANZA,LÓTICO (HUMEDAL),2022-08-09,2022,12.0,43.0,43.0,82.8,15.33,24.4,1.0,1.0
13,DLCAM280,DLCAM280-140822,CANDELARIA,LÓTICO,2022-08-09,2022,14.0,75.0,75.0,94.2,14.88,24.4,1.0,1.0
14,DLCHI289,DLCHI289-310722,"KM 0+000, PUENTE INTERNACIONAL CIUDAD JUAREZ",LÓTICO,2022-07-25,2022,151.8,24196.0,24196.0,107.7,4.5,68.0,1.0,1.0
15,DLCHI290,DLCHI290-310722,RIO BRAVO 19,LÓTICO,2022-07-25,2022,284.7,15531.0,61.0,137.1,6.3,10.0,1.0,1.0
16,DLCHI295,DLCHI295-310722,PLANTA SUR,LÓTICO,2022-07-25,2022,17.5,24196.0,24196.0,67.4,22.1,31.26,4.83,1.03
17,DLCHI384,DLCHI384-310722,PUENTE PRESIDIO-OJINAGA,LÓTICO,2022-07-27,2022,735.0,598.0,41.0,97.0,2.0,14.62,1.0,1.0
18,DLCHI294,DLCHI294-310722,PLANTA NORTE,LÓTICO,2022-07-26,2022,517.3,24196.0,24196.0,90.6,8.3,27.52,1.0,1.0
19,DLCHI419,DLCHI419-310722,RH24-5 BRAVO CONCHOS,LÓTICO (HUMEDAL),2022-07-28,2022,1337.5,24196.0,3448.0,106.0,4.3,73.13,1.0,1.0
20,DLCHI381,DLCHI381-310722,RH24-8 BRAVO CONCHOS,LÓTICO (HUMEDAL),2022-07-27,2022,266.7,935.0,75.0,108.3,5.2,19.78,1.0,1.0
21,DLCHI385,DLCHI385-310722,RIO BRAVO 18,LÓTICO,2022-07-27,2022,116.2,242.0,10.0,97.0,4.0,10.0,1.0,1.0
22,DLCHI427,DLCHI427-310722,RIO SAN PEDRO-PUENTE MEOQUI,LÓTICO (HUMEDAL),2022-07-28,2022,17.4,4884.0,20.0,138.1,2.0,10.0,1.0,1.0
23,DLCOA436,DLCOA436-180922,RIO SABINAS 6,LÓTICO (HUMEDAL),2022-09-13,2022,24.6,2613.0,52.0,112.2,2.0,10.0,1.0,1.0
24,DLCOA439,DLCOA439-180922,RIO SABINAS 4,LÓTICO (HUMEDAL),2022-09-13,2022,26.4,2909.0,20.0,111.8,2.0,10.0,1.0,1.0
25,DLCOA441,DLCOA441-180922,PUENTE RIO SABINAS,LÓTICO (HUMEDAL),2022-09-13,2022,11.9,3448.0,324.0,109.2,2.0,10.0,1.0,1.0
26,DLCOA444,DLCOA444-180922,AGUAS ABAJO DEL POBLADO NUEVA ROSITA,LÓTICO (HUMEDAL),2022-09-13,2022,10.1,2778.0,259.0,102.1,2.0,10.0,1.0,1.0
27,DLCOA445,DLCOA445-180922,AGUAS ARRIBA DEL POBLADO NUEVA ROSITA,LÓTICO (HUMEDAL),2022-09-14,2022,10.0,789.0,20.0,114.5,2.0,10.0,1.0,1.0
28,DLCOA448,DLCOA448-180922,RIO SABINAS 3,LÓTICO (HUMEDAL),2022-09-14,2022,10.0,933.0,84.0,105.3,2.0,10.0,1.0,1.0
29,DLCOA442,DLCOA442-180922,AGUAS ABAJO DE SABINAS,LÓTICO (HUMEDAL),2022-09-13,2022,12.3,5475.0,520.0,99.5,2.0,10.0,1.0,1.0
30,DLCOA449,DLCOA449-180922,RIO SABINAS 2,LÓTICO (HUMEDAL),2022-09-14,2022,10.0,1081.0,10.0,106.8,2.0,10.0,1.0,1.0
31,DLCOA451,DLCOA451-180922,RIO SABINAS 1,LÓTICO (HUMEDAL),2022-09-14,2022,13.2,1500.0,10.0,107.1,2.0,10.0,1.0,1.0
32,DLCOA446,DLCOA446-180922,EN POBLADO DE SAN JUAN DE SABINAS,LÓTICO (HUMEDAL),2022-09-14,2022,10.0,1210.0,20.0,109.1,2.0,10.0,1.0,1.0
34,DLCOA478,DLCOA478-180922,TOMA DE AGUA DE CFE,LÓTICO (HUMEDAL),2022-09-16,2022,24.2,1793.0,20.0,123.4,2.0,10.0,1.0,1.0
35,DLCOA479,DLCOA479-180922,RIO BRAVO 11,LÓTICO,2022-09-16,2022,18.5,2046.0,175.0,136.5,2.0,10.0,1.0,1.0
36,DLCOA468,DLCOA468-021022,"GENERAL MOTORS DE MEXICO, S.A. DE C.V. (C) (AGUAS ARRIBA)",LÓTICO,2022-10-02,2022,28.1,24196.0,24196.0,17.5,94.5,209.33,1.48,1.53
37,DLCOA480,DLCOA480-180922,AGUAS ARRIBA DE CONFLUENCIA CON RIO BRAVO,LÓTICO,2022-09-16,2022,20.0,24196.0,1266.0,109.2,2.0,10.82,1.0,1.0
38,DLCOA486,DLCOA486-250922,PARQUE INDUSTRIAL ACUÑA,LÓTICO,2022-09-19,2022,10.0,1872.0,20.0,119.0,2.0,22.57,1.0,1.0
39,DLCOA481,DLCOA481-180922,PUENTE INTERNACIONAL PIEDRAS NEGRAS,LÓTICO (HUMEDAL),2022-09-16,2022,20.0,2359.0,279.0,128.8,2.0,10.0,1.0,1.0
